city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Tokyo,Tokyo,35.685,139.7514,Japan,JP,JPN,T??ky??,primary,35676000,1392685764
??saka,Osaka,34.75,135.4601,Japan,JP,JPN,??saka,admin,11294000,1392419823
Bangkok,Bangkok,13.75,100.5166,Thailand,TH,THA,Krung Thep Maha Nakhon,primary,6704000,1764068610
Yokohama,Yokohama,35.32,139.58,Japan,JP,JPN,Kanagawa,admin,3697894,1392118339
Pyongyang,Pyongyang,39.0194,125.7547,"Korea, North",KP,PRK,P?€?y??ngyang,primary,3300000,1408738594
Nagoya,Nagoya,35.155,136.915,Japan,JP,JPN,Aichi,admin,3230000,1392407472
Fukuoka,Fukuoka,33.595,130.41,Japan,JP,JPN,Fukuoka,admin,2792000,1392576294
Sapporo,Sapporo,43.075,141.34,Japan,JP,JPN,Hokkaid??,admin,2544000,1392000195
Sendai,Sendai,38.2871,141.0217,Japan,JP,JPN,Miyagi,admin,2250000,1392457903
Hiroshima,Hiroshima,34.3878,132.4429,Japan,JP,JPN,Hiroshima,admin,2045000,1392373695
Ky??to,Kyoto,35.03,135.75,Japan,JP,JPN,Ky??to,admin,1805000,1392622735
K??be,Kobe,34.68,135.17,Japan,JP,JPN,Hy??go,admin,1528478,1392978082
Kawanakajima,Kawanakajima,35.53,139.705,Japan,JP,JPN,Kanagawa,,1437266,1392879600
Namp?€?o,Namp'o,38.7669,125.4524,"Korea, North",KP,PRK,,admin,1127000,1408892768
Amman,Amman,31.95,35.9333,Jordan,JO,JOR,Al ?€??€??imah,primary,1060000,1400522593
Kitaku,Kitaku,33.8704,130.82,Japan,JP,JPN,Fukuoka,,997536,1392129541
Hamamatsu,Hamamatsu,34.7181,137.7327,Japan,JP,JPN,Shizuoka,,977023,1392174500
Naha,Naha,26.2072,127.673,Japan,JP,JPN,Okinawa,admin,905238,1392583118
Az Zarq???€?,Az Zarqa',32.07,36.1,Jordan,JO,JOR,Az Zarq???€?,admin,894691,1400161837
Okayama,Okayama,34.672,133.9171,Japan,JP,JPN,Okayama,admin,866092,1392954750
Hamh??ng,Hamhung,39.9101,127.5454,"Korea, North",KP,PRK,Hamnam,admin,773000,1408482040
H??ngnam,Hungnam,39.8231,127.6232,"Korea, North",KP,PRK,Hamnam,,751322,1408328889
Kumamoto,Kumamoto,32.8009,130.7006,Japan,JP,JPN,Kumamoto,admin,718232,1392106283
Shizuoka,Shizuoka,34.9858,138.3854,Japan,JP,JPN,Shizuoka,admin,701561,1392235505
Ch?€???ngjin,Ch'ongjin,41.7846,129.79,"Korea, North",KP,PRK,Hambuk,minor,672614,1408498177
Utsunomiya,Utsunomiya,36.55,139.87,Japan,JP,JPN,Tochigi,admin,667752,1392506125
Irbid,Irbid,32.55,35.85,Jordan,JO,JOR,Irbid,admin,650000,1400221568
